NB,Change, Marker, Request, Result 
1,null,Error : generate CU : AbstractRunBenchmark.java Line : 82,,Hello! How can I assist you today?
2,Delete Class ,Error : MultiProjectBenchmark CU : Report.java Line : 107,Considering a metaclass called MultiProjectBenchmark The class MultiProjectBenchmark is generated from this metaclass. Here is a change: the metaclass MultiProjectBenchmark is removed with all the generated classes and properties are removed.  Here is a java method declaration  : private MultiProjectBenchmark buildReportModelAndDiagrams() throws CoreException  IOException  Coevolve it according to the described change.,private MultiProjectBenchmark buildReportModelAndDiagrams() throws CoreException  IOException {      // implementation of the method  }
3,Delete Class ,Error : MultiProjectBenchmark CU : Report.java Line : 112,Considering a metaclass called MultiProjectBenchmark The class MultiProjectBenchmark is generated from this metaclass. Here is a change: the metaclass MultiProjectBenchmark is removed with all the generated classes and properties are removed.  Coevolve this java code snippet according to the described change  :  : MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark() ,Benchmark benchmark = BenchmarkFactory.eINSTANCE.createBenchmark() 
4,Delete Class ,Error : createMultiProjectBenchmark CU : Report.java Line : 112,The metaclass MultiProjectBenchmark is removed   the method createMultiProjectBenchmark is generated and its usage must be removed  Coevolve this java code snippet according to the described change  :  : MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark() ,Instead of using the removed MultiProjectBenchmark metaclass and method createMultiProjectBenchmark  you can directly create a Benchmark object using BenchmarkFactory as follows:    ```  Benchmark benchmark = BenchmarkFactory.eINSTANCE.createBenchmark()   ```     You can then continue with the rest of your code using the newly created Benchmark object.
5,Pull property,Error : getDiscoveries CU : Report.java Line : 180,The method getDiscoveries is generated from the attribute  discoveries The attribute discoveries is pulled from a subclass to the superclass : Benchmark Coevolve this java code snippet according to the described change  :  : benchmarkedProject.getDiscoveries().add(discovery) ,// Assuming Benchmark class has getDiscoveries() method  // Assuming discovery and benchmarkedProject are already defined and initialized    ((Benchmark) benchmarkedProject).getDiscoveries().add(discovery) 
6,Pull property,Error : setName CU : Report.java Line : 182,The method setName is generated from the attribute  name The attribute name is pulled from a subclass to the superclass : Resource Coevolve this java code snippet according to the described change  :  : benchmarkedProject.setName(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.JAVA_PROJECT_NAME)) ,benchmarkedProject.getName().setName(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.JAVA_PROJECT_NAME)) 
7,Extract property,Error : setMaxUsedMemoryInBytes CU : Report.java Line : 187,The method setIterations is generated from the reference iterations Considering that calling  setIterations from the class  Discovery returns a list of DiscoveryIteration objects   The attribute maxUsedMemoryInBytes is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Coevolve this java code snippet according to the described change  :  : discovery.setMaxUsedMemoryInBytes(maxUsedMemory) ,public class Discovery {      private List<DiscoveryIteration> iterations             // Other attributes and methods            public void setIterations(List<DiscoveryIteration> iterations) {          this.iterations = iterations       }  }    public class DiscoveryIteration {      private int maxUsedMemoryInBytes         // Other attributes and methods            public void setMaxUsedMemoryInBytes(int maxUsedMemoryInBytes) {          this.maxUsedMemoryInBytes = maxUsedMemoryInBytes       }  }    // Somewhere in the code  Discovery discovery = new Discovery()   DiscoveryIteration iteration = new DiscoveryIteration()   iteration.setMaxUsedMemoryInBytes(maxUsedMemory)   List<DiscoveryIteration> iterationsList = new ArrayList<>()   iterationsList.add(iteration)   discovery.setIterations(iterationsList) 
8,Delete property,Error : setMetaModelVariant CU : Report.java Line : 188,The method setMetaModelVariant is generated from the attribute metaModelVariant The attribute metaModelVariant is removed from the class Discovery and the usages of this method must be removed   Coevolve this java code snippet according to the described change  :   : discovery.setMaxUsedMemoryInBytes(maxUsedMemory)  discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))  discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT)) ,discovery.setMaxUsedMemoryInBytes(maxUsedMemory)   discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT)) 
9,Delete property,Error : setAlgorithmVariant CU : Report.java Line : 190,The method setAlgorithmVariant is generated from the attribute algorithmVariant The attribute algorithmVariant is removed from the class Discovery and the usages of this method must be removed   Coevolve this java code snippet according to the described change  :   : discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))  discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))  discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2 Statistics.SAVE)) / Report.MINUTE_MS_RANGE) ,discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))   discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2 Statistics.SAVE)) / Report.MINUTE_MS_RANGE) 
10,Extract property,Error : setSaveTimeInSeconds CU : Report.java Line : 192,The method setIterations is generated from the reference iterations Considering that calling  setIterations from the class  Discovery returns a list of DiscoveryIteration objects   The attribute saveTimeInSeconds is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Coevolve this java code snippet according to the described change  :  : discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2 Statistics.SAVE)) / Report.MINUTE_MS_RANGE) ,```  public class Discovery {      private List<DiscoveryIteration> iterations             public void setIterations(List<DiscoveryIteration> iterations) {          this.iterations = iterations       }            public void setSaveTimeInSeconds(Double saveTimeInSeconds) {          for (DiscoveryIteration iteration : iterations) {              iteration.setSaveTimeInSeconds(saveTimeInSeconds)           }      }  }    public class DiscoveryIteration {      private Double saveTimeInSeconds         public void setSaveTimeInSeconds(Double saveTimeInSeconds) {          this.saveTimeInSeconds = saveTimeInSeconds       }  }  ```
