NB,Change, Marker, Request, Result 
1,null,,,Hello! How can I assist you today?
3,Delete Class ,Error : ProjectDiscovery CU : CDOProjectDiscovery.java Line : 15,The metaclass ProjectDiscovery is removed and the class ProjectDiscovery is removed also  Coevolve this java code snippet according to the described change  :   : import org.eclipse.modisco.infra.discovery.benchmark.ProjectDiscovery ,import org.eclipse.modisco.infra.discovery.benchmark.*     public class CoevolvedClass {      // code implementation here  }
4,Delete Class ,Error : ProjectDiscovery CU : CDOProjectDiscovery.java Line : 27,Considering a metaclass called ProjectDiscovery The class ProjectDiscovery is generated from this metaclass. Here is a change: the metaclass ProjectDiscovery is removed with all the generated classes and properties are removed.  Coevolve this java code snippet according to the described change  :   : /**   * <!-- begin-user-doc --> A representation of the model object '<em><b>CDO Project Discovery</b></em>'. <!-- end-user-doc -->  * @see org.eclipse.modisco.java.discoverer.benchmark.javaBenchmark.JavaBenchmarkPackage#getCDOProjectDiscovery()  * @model  * @generated  */ public interface CDOProjectDiscovery extends AbstractCDODiscovery  ProjectDiscovery,public interface CDOProjectDiscovery extends AbstractCDODiscovery {     // No longer extends ProjectDiscovery  }
5,Delete Class ,Error : DiscoveredProject CU : JavaDiscoveredProjectImpl.java Line : 26,The metaclass DiscoveredProject is removed and the class DiscoveredProject is removed also  Coevolve this java code snippet according to the described change  :   : import org.eclipse.modisco.infra.discovery.benchmark.BenchmarkPackage  import org.eclipse.modisco.infra.discovery.benchmark.DiscoveredProject  import org.eclipse.modisco.infra.discovery.benchmark.Discovery ,import org.eclipse.modisco.infra.discovery.benchmark.BenchmarkPackage   import org.eclipse.modisco.infra.discovery.benchmark.Discovery 
6,null,Error : JavaDiscoveredProjectImpl CU : JavaDiscoveredProjectImpl.java Line : 52,,Hello! How can I assist you today?
7,Delete Class ,Error : DiscoveredProject CU : JavaDiscoveredProjectImpl.java Line : 373,Considering a metaclass called DiscoveredProject The class DiscoveredProject is generated from this metaclass. Here is a change: the metaclass DiscoveredProject is removed with all the generated classes and properties are removed.  Coevolve this java code snippet according to the described change  :  : if (baseClass == DiscoveredProject.class) { switch (derivedFeatureID) { case JavaBenchmarkPackage.JAVA_DISCOVERED_PROJECT__DISCOVERIES:    return BenchmarkPackage.DISCOVERED_PROJECT__DISCOVERIES  default:  return -1  } },...  if (baseClass == Benchmark.DiscoveredProject.class) {      switch (derivedFeatureID) {          case JavaBenchmarkPackage.JAVA_DISCOVERED_PROJECT__DISCOVERIES:    return -1           default:  return -1       }  }  ...
8,Extract property,Error : DISCOVERED_PROJECT__DISCOVERIES CU : JavaDiscoveredProjectImpl.java Line : 375,,Hello! How can I assist you today?
9,Delete Class ,Error : DiscoveredProject CU : JavaDiscoveredProjectImpl.java Line : 400,Considering a metaclass called DiscoveredProject The class DiscoveredProject is generated from this metaclass. Here is a change: the metaclass DiscoveredProject is removed with all the generated classes and properties are removed.  Coevolve this java code snippet according to the described change  :  : if (baseClass == DiscoveredProject.class) { switch (baseFeatureID) { case BenchmarkPackage.DISCOVERED_PROJECT__DISCOVERIES:    return JavaBenchmarkPackage.JAVA_DISCOVERED_PROJECT__DISCOVERIES  default:  return -1  } },if (baseClass == DiscoveredProject.class) {      switch (baseFeatureID) {          // case BenchmarkPackage.DISCOVERED_PROJECT__DISCOVERIES:    return JavaBenchmarkPackage.JAVA_DISCOVERED_PROJECT__DISCOVERIES           default:  return -1       }  }
10,Extract property,Error : DISCOVERED_PROJECT__DISCOVERIES CU : JavaDiscoveredProjectImpl.java Line : 402,,Hello! How can I assist you today?
11,Delete Class ,Error : ProjectDiscovery CU : CDOProjectDiscoveryImpl.java Line : 29,The metaclass ProjectDiscovery is removed and the class ProjectDiscovery is removed also  Coevolve this java code snippet according to the described change  :   : import org.eclipse.modisco.infra.discovery.benchmark.Project  import org.eclipse.modisco.infra.discovery.benchmark.ProjectDiscovery  import org.eclipse.modisco.java.discoverer.benchmark.javaBenchmark.CDOProjectDiscovery ,import org.eclipse.modisco.infra.discovery.benchmark.Project     import org.eclipse.modisco.java.discoverer.benchmark.javaBenchmark.CDOProjectDiscovery 
12,null,Error : CDOProjectDiscoveryImpl CU : CDOProjectDiscoveryImpl.java Line : 58,,Hello! How can I assist you today?
13,Extract property,Error : DISCOVERY__DICOVERY_DATE CU : CDOProjectDiscoveryImpl.java Line : 795,The literal DISCOVERY__DICOVERY_DATE is generated by combining the literal of the source class and the literal of the attribute  The attribute dicoveryDate is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Coevolve this java code snippet according to the described change  :  : return BenchmarkPackage.DISCOVERY__DICOVERY_DATE ,return BenchmarkPackage.DISCOVERY_ITERATION__DICOVERY_DATE 
14,Extract property,Error : DISCOVERY__ALGORITHM_VARIANT CU : CDOProjectDiscoveryImpl.java Line : 796,,Hello! How can I assist you today?
