NB,Change, Marker, Request, Result 
1,Rename Class ,Error : PostActionConfiguration CU : ApplyStereotypeActionConfiguration.java Line : 10,The class PostActionConfiguration is generated from  The metaclass which PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :     Give the updated java method only,public class SemanticActionConfiguration {      // class implementation  }    public class MyClass {      public void myMethod() {          SemanticActionConfiguration postActionConfig = new SemanticActionConfiguration()           // method implementation      }  }
2,Rename class,Error : PostActionConfiguration CU : ApplyStereotypeActionConfiguration.java Line : 28,The class PostActionConfiguration is generated from  The metaclass PostActionConfiguration which is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :    OTHER CODE DETECTED   Give the updated java method only,public class SemanticActionConfiguration {      // class implementation  }    // OTHER CODE DETECTED
3,Rename class,Error : POST_ACTION_CONFIGURATION__LABEL CU : ApplyStereotypeActionConfigurationPackage.java Line : 80,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The feature id for the '<em><b>Label</b></em>' attribute. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION__LABEL=ExtendedtypesPackage.POST_ACTION_CONFIGURATION__LABEL    Give the updated java method only,/**    * The feature id for the '<em><b>Label</b></em>' attribute. <!-- begin-user-doc --> <!-- end-user-doc -->   * @generated   * @ordered   */  int APPLY_STEREOTYPE_ACTION_CONFIGURATION__LABEL=ExtendedtypesPackage.SEMANTIC_ACTION_CONFIGURATION__LABEL 
4,Rename class,Error : POST_ACTION_CONFIGURATION__ID CU : ApplyStereotypeActionConfigurationPackage.java Line : 89,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The feature id for the '<em><b>Id</b></em>' attribute. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION__ID=ExtendedtypesPackage.POST_ACTION_CONFIGURATION__ID    Give the updated java method only,/**    * The feature id for the '<em><b>Id</b></em>' attribute. <!-- begin-user-doc --> <!-- end-user-doc -->   * @generated   * @ordered   */  int APPLY_STEREOTYPE_ACTION_CONFIGURATION__ID=ExtendedtypesPackage.SEMANTIC_ACTION_CONFIGURATION__ID     // Updated method  public void applyStereotypeActionConfiguration() {     // Method implementation  }
5,Rename class,Error : POST_ACTION_CONFIGURATION_FEATURE_COUNT CU : ApplyStereotypeActionConfigurationPackage.java Line : 98,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The feature id for the '<em><b>Stereotypes To Apply</b></em>' containment reference list. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION__STEREOTYPES_TO_APPLY=ExtendedtypesPackage.POST_ACTION_CONFIGURATION_FEATURE_COUNT + 0    Give the updated java method only,/**    * The feature id for the '<em><b>Stereotypes To Apply</b></em>' containment reference list. <!-- begin-user-doc --> <!-- end-user-doc -->   * @generated   * @ordered   */  int SEMANTIC_ACTION_CONFIGURATION__STEREOTYPES_TO_APPLY=ExtendedtypesPackage.POST_ACTION_CONFIGURATION_FEATURE_COUNT + 0     // Updated method  public void applyStereotypeActionConfiguration() {      // Implementation code here  }
6,Rename class,Error : POST_ACTION_CONFIGURATION_FEATURE_COUNT CU : ApplyStereotypeActionConfigurationPackage.java Line : 107,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The number of structural features of the '<em>Apply Stereotype Action Configuration</em>' class. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION_FEATURE_COUNT=ExtendedtypesPackage.POST_ACTION_CONFIGURATION_FEATURE_COUNT + 1    Give the updated java method only,/**    * The number of structural features of the '<em>Semantic Action Configuration</em>' class. <!-- begin-user-doc --> <!-- end-user-doc -->   * @generated   * @ordered   */  int SEMANTIC_ACTION_CONFIGURATION_FEATURE_COUNT=ExtendedtypesPackage.POST_ACTION_CONFIGURATION_FEATURE_COUNT + 1 
7,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
8,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to personal information or the ability to generate personal experiences.
9,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
10,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
11,null,Error : PostActionConfigurationImpl CU : ApplyStereotypeActionConfigurationImpl.java Line : 17,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
12,null,Error : PostActionConfigurationImpl CU : ApplyStereotypeActionConfigurationImpl.java Line : 35,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to personal information or the ability to generate personal narratives.
13,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to personal information or the ability to generate personal narratives.
14,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
15,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
16,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
17,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to your previous text. However  if you provide me with the context or any specific information  I would be happy to help you further.
18,null,,,I'm sorry  I cannot continue the text for you as I am an AI language model and I do not have access to personal information or the ability to generate content without user input.
